question,context,answer_start,answer
Ai khi đến nơi đã cho những người định cư viking ban đầu một bản sắc chung?,"Trước khi Rollo đến, dân số ở đây không khác với Picardy hay Île-de-France, vốn được coi là ""Frankish"". Những người định cư Viking sớm hơn đã bắt đầu đến vào những năm 880, nhưng bị chia cắt giữa các thuộc địa ở phía đông (Roumois và Pays de Caux) quanh hạ thung lũng Seine và phía tây ở Bán đảo Cotentin, và bị chia cắt bởi pagii truyền thống, nơi dân cư vẫn còn như cũ, không có người định cư nước ngoài. Các đội quân của Rollo đã đột kích và cuối cùng định cư Normandy và một phần của bờ biển Đại Tây Dương bao gồm người Đan Mạch, người Na Uy, người Norse-Gaels, người Orkney Vikings, có thể là người Thụy Điển và người Anglo-Danes từ Danelaw thuộc Anh dưới sự kiểm soát của người Scandinavia.",10,Rollo
Tên của nhà lãnh đạo được Henry III thăng chức quý tộc là gì,"Hai gia đình Norman nổi bật nhất đến Địa Trung Hải là hậu duệ của Tancred of Hauteville và gia đình Drengot, trong đó Rainulf Drengot đã nhận được hạt Aversa, vùng đất của người Norman đầu tiên ở phía nam, từ Duke Sergius IV của Naples vào năm 1030. Gia đình Hauteville đã đạt được cấp bậc hoàng gia bằng cách tuyên bố hoàng tử Guaimar IV của Salerno là ""Quốc vương của Apulia và Calabria"". Ông đã kịp thời trao cho nhà lãnh đạo được bầu của họ, William Iron Arm, với danh hiệu là bá tước ở thủ đô Melfi của ông. Gia đình Drengot sau đó đã đạt được chức vương của Capua, và hoàng đế Henry III đã chính thức thăng chức quý tộc cho nhà lãnh đạo Hauteville, Drogo, với tư cách là ""dux et magister Italiae đến Normannorum totius Apuliae et Calabriae"" (""Quốc vương và Người chủ của nước Ý và Bà tước của người Norman ở toàn bộ Apulia và Calabria"") vào năm 1047.",655,Drogo
"Ai là kẻ thù chính của người Norman ở Ý, Đế quốc Byzantine và Armenia?","Ngay sau khi người Norman bắt đầu vào Ý, họ đã vào Đế quốc Byzantine và sau đó là Armenia, chiến đấu chống lại người Pechalan, người Bulgary và đặc biệt là người Thổ Seljuk. Những người lính đánh thuê Norman lần đầu tiên được khuyến khích đến miền nam bởi những người Lombard để hành động chống lại Byzantines, nhưng họ đã sớm chiến đấu Sicily. Họ đã nổi bật cùng với các thành viên Varangian và Lombard trong chiến dịch George Maniaces của Sicilia năm 1038. Có tranh luận về việc người Norman ở Hy Lạp có thực sự đến từ Norman Ý hay không, và bây giờ có vẻ như chỉ có một vài người đến từ đó. Người ta cũng không biết có bao nhiêu ""Franks"", như người Byzantines gọi họ, là người Norman chứ không phải người Pháp khác.",156,người Thổ Seljuk
Tên của lâu đài Norman là gì?,"Một số người Norman đã gia nhập lực lượng Thổ Nhĩ Kỳ để hỗ trợ cho việc tiêu diệt các quốc gia chư hầu của người Armenia ở Sassoun và Taron ở vùng viễn đông Anatolia. Sau đó, nhiều người đã phục vụ nhà nước Armenia ở phía nam Cilicia và dãy núi Taurus. Một người Norman tên là Oursel đã dẫn một lực lượng ""Franks"" vào thượng thung lũng Euphrates ở phía bắc Syria. Từ 1073 đến 1074, 8.000 trong số 20.000 quân của tướng Armenia Philaretus Brachamius là người Normans - trước đây của Oursel - do Raimbaud lãnh đạo. Họ thậm chí còn cho dân tộc của mình mượn tên của lâu đài: Afranji, nghĩa là ""Franks"". Giao thương được biết đến giữa Amalfi và Antioch và giữa Bari và Tarsus có thể liên quan đến sự hiện diện của người Italo-Normans ở những thành phố đó trong khi Amalfi và Bari nằm dưới sự cai trị của Norman ở Ý.",572,Afranji
Quần đảo Canaria ngoài khơi lục địa nào?,"Giữa năm 1402 và 1405, đoàn thám hiểm do quý tộc Norman Jean de Bethencourt và Poitevine Gadifer de la Salle dẫn đầu đã chinh phục các đảo của quần đảo Canary là Lanzarote, Fuerteventura và El Hierro ngoài khơi bờ biển Đại Tây Dương của châu Phi. Quân đội của họ được tập trung tại Normandy, Gasingham và sau đó được củng cố bởi thực dân người Castile.",237,châu Phi
Tesla chết năm nào?,"Tesla nổi tiếng vì những thành tựu và kỹ năng thu hút công chúng của mình, cuối cùng đã mang lại cho ông một danh tiếng trong văn hóa đại chúng như một ""nhà khoa học điên"" điển hình. Các bằng sáng chế mang lại cho ông một số tiền đáng kể, phần lớn được sử dụng để tài trợ cho các dự án của riêng ông với mức độ thành công khác nhau.: 121.154 Ông sống phần lớn cuộc đời của mình trong một loạt các khách sạn ở New York, cho đến khi nghỉ hưu. Tesla qua đời vào ngày 7 tháng 1 năm 1943. Công trình của ông tương đối ít người biết đến sau khi ông qua đời, nhưng vào năm 1960, Hội nghị Toàn thể về Cân Đo đã đặt tên cho đơn vị SI của mật độ từ thông là tesla để vinh danh ông. Công chúng đã quan tâm Tesla trở lại từ những năm 1990.",474,năm 1943
Tesla đã hợp tác với ai vào năm 1886?,"Sau khi rời công ty của Edison, Tesla hợp tác với hai doanh nhân vào năm 1886, Robert Lane và Benjamin Vail, người đã đồng ý tài trợ cho một công ty điện chiếu sáng dưới tên Tesla là Tesla Electric Light & Manufacturing. Công ty đã lắp đặt hệ thống chiếu sáng dựa trên hồ quang điện do Tesla thiết kế và cũng có các thiết kế cho các cổ góp máy điện động lực, bằng sáng chế đầu tiên được cấp cho Tesla ở Mỹ.",79,Robert Lane và Benjamin Vail
Khi nào Tesla đạt được bằng sáng chế máy phát điện của mình?,"Năm 1900, Tesla đã được cấp bằng sáng chế cho một ""hệ thống truyền năng lượng điện"" và ""một máy phát điện"". Khi Guglielmo Marconi thực hiện việc truyền phát vô tuyến xuyên Đại Tây Dương nổi tiếng đầu tiên của mình vào năm 1901, Tesla đã châm biếm rằng điều đó đã được thực hiện với 17 bằng sáng chế của Tesla, mặc dù có rất ít bằng chứng để hỗ trợ cho tuyên bố này. Đây là khởi đầu của những cuộc chiến bằng sáng chế trên đài phát thanh với các bằng sáng chế của Tesla được phê chuẩn vào năm 1903, sau đó là một quyết định ngược lại có lợi cho Marconi vào năm 1904. Năm 1943, một quyết định của Tòa án Tối cao Hoa Kỳ đã khôi phục các bằng sáng chế trước đó của Tesla, Oliver Lodge và John Stone. Tòa án tuyên bố rằng quyết định của họ không ảnh hưởng đến tuyên bố của Marconi là người đầu tiên đạt được truyền phát vô tuyến, chỉ là vì tuyên bố của Marcon đối với một số bằng sáng chế là không chắc chắn, anh ta không thể tuyên bố vi phạm các bằng sáng chế đó (có những tuyên bố mà tòa án cấp cao đang cố gắng vô hiệu hóa một yêu cầu ở Thế Chiến I chống lại chính phủ Hoa Kỳ bởi Công ty Marconi thông qua việc khôi phục bằng sáng chế trước đó của Tesla).",0,Năm 1900
Có bao nhiêu đề nghị có thể có cho giải thưởng vào năm 1915?,"Trong những năm sau những tin đồn này, cả Tesla và Edison đều không giành được giải thưởng (mặc dù Edison đã nhận được một trong 38 đề nghị có thể có vào năm 1915 và Tesla đã nhận được một trong 38 đề nghị có thể có vào năm 1937).",129,38
Bài báo nào được xuất bản năm 1937?,"Tuy nhiên, quan điểm tôn giáo của ông vẫn không chắc chắn do những tuyên bố khác mà ông đưa ra. Ví dụ, trong bài viết của mình, ""Một cỗ máy để Kết thúc Chiến tranh"", xuất bản năm 1937, Tesla tuyên bố:",128,"""Một cỗ máy để Kết thúc Chiến tranh"","
Nhánh nào của khoa học máy tính lý thuyết liên quan đến việc phân loại rộng rãi các vấn đề tính toán theo độ khó và lớp quan hệ?,"Lý thuyết độ phức tạp tính toán là một nhánh của lý thuyết tính toán trong khoa học máy tính lý thuyết, tập trung vào phân loại các vấn đề tính toán theo độ khó nội tại của chúng và liên quan các lớp đó với nhau. Một vấn đề tính toán được hiểu là một nhiệm vụ mà về nguyên tắc có thể giải quyết được bằng máy tính, điều này tương đương với việc phát biểu rằng vấn đề có thể được giải quyết bằng cách áp dụng các bước toán học, như thuật toán.",0,Lý thuyết độ phức tạp tính toán
"Trong một vấn đề tính toán, cái gì có thể được mô tả như xâu ký tự trong một bảng chữ cái?","Khi xem xét các vấn đề tính toán, một trường hợp là một xâu ký tự trong một bảng chữ cái. Bảng chữ cái thường dùng là bảng chữ cái nhị phân (tức là tập {0,1}), và do đó xâu ký tự là dãy bit. Cũng như trong máy tính trên thực tế, các đối tượng toán học không phải dãy bit cần phải được mã hóa hợp lý. Ví dụ như một số nguyên cần phải được biểu diễn dưới dạng nhị phân, đồ thị có thể được biểu diễn dưới dạng ma trận kề, hoặc mã hóa danh sách kề dưới dạng nhị phân.",38,trường hợp
Các bài toán hàm thường được viết lại như thế nào?,"Thoạt nhìn có vẻ khái niệm bài toán hàm là rộng hơn khái niệm bài toán quyết định. Tuy nhiên, điều này không hẳn là đúng do các bài toán hàm có thể được viết lại dưới dạng bài toán quyết định. Ví dụ như bài toán nhân hai số nguyên có thể được biểu diễn dưới dạng tập hợp các bộ ba (a, b, c) sao cho a × b = c. Quyết định xem liệu một bộ ba cho trước có phải là thành viên của tập hợp đó hay không tương ứng với việc giải bài toán nhân hai số.",162,dưới dạng bài toán quyết định
Thời gian cần thiết để đưa ra câu trả lời trên máy Turing tất định được thể hiện dưới dạng gì?,"Để có định nghĩa chính xác về ý nghĩa của việc giải quyết vấn đề bằng cách sử dụng một lượng thời gian và không gian nhất định, một mô hình tính toán như máy Turing tất định được sử dụng. Thời gian được yêu cầu bởi máy Turing tất định M với dữ liệu vào x là tổng số lần chuyển trạng thái hoặc các bước mà máy thực hiện trước khi dừng và đưa ra câu trả lời (""có"" hoặc ""không""). Một máy Turing M được cho là hoạt động trong khoảng thời gian f(n), nếu thời gian mà M yêu cầu trên mỗi đầu vào có độ dài n nhiều nhất là f(n). Một bài toán quyết định A có thể được giải quyết trong thời gian f(n) nếu tồn tại máy Turing hoạt động trong thời gian f(n) giải quyết vấn đề. Vì lý thuyết độ phức tạp quan tâm đến việc phân loại các vấn đề dựa trên độ khó của chúng, nên người ta xác định tập hợp các vấn đề dựa trên một số tiêu chí. Chẳng hạn, tập hợp các vấn đề có thể giải quyết được trong thời gian f(n) trên máy Turing tất định được ký hiệu là DTIME(f(n)).",270,chuyển trạng thái
Giả định chưa được chứng minh thường được gán cho giá trị của các lớp độ phức tạp là gì?,"Có nhiều lớp độ phức tạp được nghi ngờ là khác nhau những vẫn chưa được chứng minh. Ví dụ như P ⊆ NP ⊆ PP ⊆ PSPACE và hoàn toàn có thể P=PSPACE. Nếu P không bằng NP thì P không bằng PSPACE. Do có rất nhiều lớp độ phức tạp giữa P và PSPACE, chẳng hạn như RP, BPP, PP, BQP, MA, PH, v.v., hoàn toàn có thể là tất cả các lớp độ phức tạp này đều bằng nhau. Chứng minh bất kì hai lớp nào trong số các lớp này là khác nhau sẽ là một bước tiến lớn trong lý thuyết độ phức tạp.",25,được nghi ngờ là khác nhau
Hình thức trừng phạt thân thể phổ biến như thế nào trong quá khứ?,"Trong thời gian qua, trừng phạt thân thể (đánh vào mông bằng gỗ dẹt hoặc roi mây hoặc roi da hoặc roi bạch đàn để gây ra nỗi đau thể xác) là một trong những hình thức kỷ luật phổ biến nhất của nhà trường ở phần lớn trên thế giới. Hầu hết các nước phương Tây và một số quốc gia khác hiện đã cấm trừng phạt thân thể, nhưng điều này vẫn còn hợp pháp ở Hoa Kỳ sau phán quyết của Tòa án Tối cao Hoa Kỳ năm 1977, tuyên bố rằng đánh vào mông bằng gỗ dẹt không vi phạm Hiến pháp Hoa Kỳ.",141,một trong những hình thức kỷ luật phổ biến nhất
Giáo viên ở Wales có thể đăng ký vào tổ chức nào?,"Giáo viên ở Wales có thể là thành viên đã đăng ký của công đoàn như ATL, NUT hoặc NASUWT và các báo cáo trong những năm gần đây cho thấy độ tuổi trung bình của giáo viên ở Wales đang giảm với việc giáo viên trẻ hơn so với những năm trước. Một nguyên nhân cho mối quan tâm ngày càng tăng là các cuộc tấn công vào giáo viên ở các trường học ở xứ Wales, vốn đạt mức cao nhất mọi thời đại trong khoảng thời gian từ 2005 đến 2010.",54,công đoàn
"Ở Hoa Kỳ, ai quyết định các yêu cầu dành cho giáo viên?","Tại Hoa Kỳ, mỗi tiểu bang xác định các yêu cầu để có được giấy phép giảng dạy trong các trường công. Chứng chỉ giảng dạy thường kéo dài ba năm, nhưng giáo viên có thể nhận được chứng chỉ kéo dài đến mười năm. Giáo viên trường công được yêu cầu phải có bằng cử nhân và phần lớn phải được chứng nhận bởi tiểu bang nơi họ giảng dạy. Nhiều trường công đặc cách không yêu cầu giáo viên của họ phải được chứng nhận, miễn là họ đáp ứng các tiêu chuẩn để có trình độ cao do đạo luật Không có Trẻ em nào bị Tụt hậu (No Child Left Behind) đặt ra. Ngoài ra, các yêu cầu đối với giáo viên thay thế/tạm thời thường không nghiêm ngặt như các yêu cầu đối với các chuyên gia toàn thời gian. Cục Thống kê Lao động ước tính có 1,4 triệu giáo viên tiểu học, 674.000 giáo viên trung học cơ sở và 1 triệu giáo viên trung học làm việc tại Hoa Kỳ.",12,mỗi tiểu bang
Tên của thầy tâm linh trong Ấn Độ giáo là gì?,"Trong Ấn Độ giáo, thầy tâm linh được gọi là guru, và trong nhiều truyền thống của Ấn Độ giáo - đặc biệt là những truyền thống phổ biến ở phương Tây - việc nhấn mạnh vào sự hướng dẫn tâm linh là cực kỳ cao, với việc các guru thường thực hiện rất nhiều quyền kiểm soát cuộc sống của môn đồ của họ.",44,guru
Tên của một thầy trong Phật giáo Tây Tạng là gì?,"Trong Phật giáo Tây Tạng, các thầy về Pháp ở Tây Tạng thường được gọi là Lạt-ma. Một Lạt-ma đã trải qua phowa và siddhi có ý thức quyết tâm được tái sinh, thường là nhiều lần, để tiếp tục Bồ Tát học xứ của mình được gọi là Hóa thân.",73,Lạt-ma
"Các tác phẩm của Luther lan sang Pháp, Anh và Ý khi nào?","Các tác phẩm của Luther lưu hành rộng rãi, đến Pháp, Anh và Ý sớm nhất là năm 1519. Các sinh viên đã tụ tập đến Wittenberg để nghe Luther diễn thuyết. Ông đã xuất bản một bài bình luận ngắn về Galati và Công trình của ông về Thi Thiên. Giai đoạn đầu này trong sự nghiệp của Luther là một trong những giai đoạn sáng tạo và hiệu quả nhất của ông. Ba trong số những công trình nổi tiếng nhất của ông đã được xuất bản vào năm 1520: To the Christian Nobility of the German, On the Babylon Captivity of the Church, và On the Freedom of a Christian.",78,1519
Khi nào Luther mở rộng sự công kích của mình đến các giáo lý cốt lõi của Giáo hội?,"Vào mùa hè năm 1521, Luther đã mở rộng mục tiêu của mình từ sự mộ đạo cá nhân như xá tội và hành hương đến các giáo lý quan trọng nhất trong các hoạt động của Giáo hội. Trong ""On the Abrogation of Private Mass (Về Sự bãi bỏ Thánh lễ Riêng"", ông đã lên án ý tưởng thánh lễ mi-sa là lễ tế chính là sùng bái thần tượng, thay vào đó khẳng định rằng đó là một món quà, được nhận bởi sự cảm tạ của toàn thể hội chúng. Bài tiểu luận ""On Confession, Whether the Pope has the Power to Require It (Về Việc xưng tội, Liệu Giáo hoàng có Quyền Yêu cầu hay không)"" đã bác bỏ lời thú tội bắt buộc và khuyến khích xưng tội riêng tư và tha tội, vì ""mỗi Cơ đốc nhân là một người giải tội"". Vào tháng 11, Luther đã viết ""The Judgement of Martin Luther on Monastic Vows (Đánh giá của Martin Luther về các Lời thề của Tu sĩ)"". Ông bảo đảm với các tu sĩ nam nữ rằng họ có thể phá vỡ lời thề mà không phạm tội, vì lời thề là một nỗ lực phi pháp và vô ích để có được sự cứu rỗi.",4,mùa hè năm 1521
"Vào thời của Martin Luther, nhu cầu là gì?","Được xuất bản vào thời điểm nhu cầu ngày càng tăng đối với các ấn phẩm tiếng Đức, phiên bản của Luther nhanh chóng trở thành bản dịch Kinh Thánh phổ biến và có sức ảnh hưởng. Do đó, phiên bản này đã đóng góp đáng kể cho sự phát triển của ngôn ngữ và văn học Đức. Với việc có ghi chú và lời tựa của Luther, cùng với bản khắc gỗ của Lucas Cranach có chứa hình ảnh chống giáo hoàng, phiên bản này đóng một vai trò quan trọng trong việc truyền bá giáo lý của Luther trên khắp nước Đức. Bản Kinh Thánh của Luther đã ảnh hưởng đến các bản dịch tiếng địa phương khác, chẳng hạn như bản Kinh Thánh tiếng Anh của William Tyndale (1525 trở đi), tiền thân của bản Kinh Thánh của Vua James.",59,các ấn phẩm tiếng Đức
Điều gì đã khiến Luther viết các bài thánh ca?,"Những bài thánh ca của Luther thường được tạo ra bởi những sự kiện đặc biệt trong cuộc đời của ông và cuộc Cải cách đang mở ra. Hành vi này bắt đầu từ việc ông biết về việc xử tử Johann Esch và Heinrich Voes, những cá nhân đầu tiên bị Giáo hội Công giáo La Mã hành hình vì theo quan điểm của Luther, khiến Luther viết bài thánh ca ""Ein neues Lied wir heben an ""(""Một bài hát mới chúng tôi nâng cao""), thường được biết đến bằng tiếng Anh với tựa tiêu đề và dòng đầu tiên"" Flung to the Heedless Winds"" bởi bản dịch của John C. Messenger và hát theo giai điệu Ibstone do Maria C. Tiddeman sáng tác năm 1875.",53,những sự kiện đặc biệt trong cuộc đời của ông
Điều gì sau đó được phát hiện do Luther viết?,"Một mảnh giấy sau đó đã được tìm thấy, trên đó Luther đã viết tuyên bố cuối cùng của ông. Tuyên bố bằng tiếng Latin, khác với ""Chúng ta là những người ăn xin"" được viết bằng tiếng Đức.",62,tuyên bố cuối cùng của ông
Siêu đô thị Nam California đứng thứ mấy về dân số so với toàn quốc?,"Nam California có một môi trường đô thị phát triển mạnh mẽ, nơi có một số đô thị lớn nhất trong tiểu bang, cùng với khu vực rộng lớn chưa phát triển. Đó là siêu đô thị (megalopolis) đông dân thứ ba ở Hoa Kỳ, sau Siêu đô thị Ngũ Đại Hồ và siêu đô thị Đông Bắc. Phần lớn miền nam California nổi tiếng với các cộng đồng ở ngoại ô, rộng lớn và trải dài, và sử dụng ô tô và đường cao tốc. Các khu vực chủ đạo là Los Angeles, Quận Cam, San Diego và Riverside-San Bernardino, mỗi khu vực là trung tâm của vùng đô thị tương ứng, bao gồm nhiều thành phố và cộng đồng nhỏ hơn. Đô thị cũng có một khu vực vùng đô thị quốc tế dưới dạng San Diego–Tijuana, được tạo ra bởi đô thị kéo dài đến Baja California.",191,thứ ba
Tên gắn với tám vùng tạo nên một phần của Nam California là gì?,"Nam California bao gồm một Vùng Thống kê Kết hợp, tám Vùng Thống kê Đô thị, một vùng đô thị quốc tế và nhiều khu vực đô thị. Khu vực này là nơi có hai vùng đô thị mở rộng có dân số vượt quá năm triệu người. Đó là Vùng đại Los Angeles với dân số 17.786.419 và San Diego–Tijuana với dân số 5.105.768. Trong số các vùng đô thị này, vùng đô thị Los Angeles-Long Beach-Santa Ana, vùng đô thị Riverside-San Bernardino-Ontario và vùng đô thị Oxnard-Thousand Oaks-Ventura tạo nên Vùng đại Los Angeles; trong khi vùng đô thị El Centro và vùng đô thị San Diego-Carlsbad-San Marcos tạo thành Khu vực Biên giới Nam California. Phía Bắc của Vùng đại Los Angeles là các vùng đô thị Santa Barbara, San Luis Obispo và Bakersfield.",54,Vùng Thống kê Đô thị
